ID1	ID2	ID3	RECORD #	RECORD ID
17HIS	00000	00VBJ	AEG-005279	17HIS-00000-00VBJ
17HIS	00000	00VBK	AEG-005280	17HIS-00000-00VBK
21HIS	00000	00VBL	AEG-005281	21HIS-00000-00VBL
20HIS	00000	00VBM	AEG-005282	20HIS-00000-00VBM
18HIS	00000	00VBN	AEG-005283	18HIS-00000-00VBN
18HIS	00000	00VBO	AEG-005284	18HIS-00000-00VBO
18HIS	00000	00VBP	AEG-005285	18HIS-00000-00VBP
18HIS	00000	00VBQ	AEG-005286	18HIS-00000-00VBQ
21HIS	00000	00VBR	AEG-005287	21HIS-00000-00VBR
21HIS	00000	00VBS	AEG-005288	21HIS-00000-00VBS
21HIS	00000	00VBT	AEG-005289	21HIS-00000-00VBT
19HIS	00000	00VBU	AEG-005290	19HIS-00000-00VBU
21HIS	00000	00VBV	AEG-005291	21HIS-00000-00VBV
19HIS	00000	00VBW	AEG-005292	19HIS-00000-00VBW
21HIS	00000	00VBX	AEG-005293	21HIS-00000-00VBX
18HIS	00000	00VBY	AEG-005294	18HIS-00000-00VBY
18HIS	00000	00VBZ	AEG-005295	18HIS-00000-00VBZ
18HIS	00000	00VC0	AEG-005296	18HIS-00000-00VC0
18HIS	00000	00VC1	AEG-005297	18HIS-00000-00VC1
18HIS	00000	00VC2	AEG-005298	18HIS-00000-00VC2
18HIS	00000	00VC3	AEG-005299	18HIS-00000-00VC3
20HIS	00000	00VC4	AEG-005300	20HIS-00000-00VC4
19HIS	00000	00VC5	AEG-005301	19HIS-00000-00VC5
17HIS	00000	00VC6	AEG-005302	17HIS-00000-00VC6
17HIS	00000	00VC7	AEG-005303	17HIS-00000-00VC7
17HIS	00000	00VC8	AEG-005304	17HIS-00000-00VC8
18HIS	00000	00VC9	AEG-005305	18HIS-00000-00VC9
18HIS	00000	00VCA	AEG-005306	18HIS-00000-00VCA
18HIS	00000	00VCB	AEG-005307	18HIS-00000-00VCB
19HIS	00000	00VCC	AEG-005308	19HIS-00000-00VCC
19HIS	00000	00VCD	AEG-005309	19HIS-00000-00VCD
19HIS	00000	00VCE	AEG-005310	19HIS-00000-00VCE
19HIS	00000	00VCF	AEG-005311	19HIS-00000-00VCF
18HIS	00000	00VCG	AEG-005312	18HIS-00000-00VCG
18HIS	00000	00VCH	AEG-005313	18HIS-00000-00VCH
18HIS	00000	00VCI	AEG-005314	18HIS-00000-00VCI
20HIS	00000	00VCJ	AEG-005315	20HIS-00000-00VCJ
20HIS	00000	00VCK	AEG-005316	20HIS-00000-00VCK
19HIS	00000	00VCL	AEG-005317	19HIS-00000-00VCL
19HIS	00000	00VCM	AEG-005318	19HIS-00000-00VCM
19HIS	00000	00VCN	AEG-005319	19HIS-00000-00VCN
